name,ring,quadrant,isNew,description,MoH_Used
Next.js,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p>We've had a bit more experience using <strong><a href=""https://nextjs.org/"">Next.js</a></strong> for <a href=""/radar/languages-and-frameworks/react-js"">React</a> codebases since the last time we wrote about it. Next.js is an opinionated, zero-configuration framework that includes simplified routing, automatic compilation and bundling with <a href=""/radar/tools/webpack"">Webpack</a> and <a href=""/radar/tools/babel"">Babel</a>, fast hot reloading for a convenient developer workflow among other features. It provides server-side rendering by default, improves search engine optimization and the initial load time and supports incremental static generation. We've had positive experience reports from teams using Next.js and, given its large community, continue to be excited about the evolution of the framework.</p>",y
On-demand modules,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://developer.android.com/codelabs/on-demand-dynamic-delivery#0"">On-demand modules</a></strong> for Android is a framework that allows tailored APKs containing only required functionality to be downloaded and installed for a suitably structured app. This could be worth trialing for larger apps where download speed might be an issue, or if a user is likely only to use some functionality on initial installation. It can also simplify the handling of multiple devices without requiring different APKs. A similar framework is available for <a href=""https://developer.apple.com/app-clips/"">iOS</a>.</p>",n
Streamlit,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p><strong><a href=""https://www.streamlit.io/"">Streamlit</a></strong> is an open-source application framework in Python used by data scientists for building interactive data applications. Tuning machine-learning models takes time; instead of going back and forth on the main application (the one that uses these models), we've found value in quickly building standalone prototypes in Streamlit and gathering feedback during experimentation cycles. Streamlit stands out from competitors such as <a href=""/radar/tools/dash"">Dash</a> because of its focus on rapid prototyping and support for a wide range of visualization libraries, including <a href=""https://plotly.com/"">Plotly</a> and <a href=""/radar/tools/bokeh"">Bokeh</a>. We're using it in a few projects and like how we can put together interactive visualizations with very little effort.</p>",y
SWR,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p>When used in appropriate circumstances, our teams have found that the <a href=""/radar/languages-and-frameworks/react-hooks"">React Hooks</a> library <strong><a href=""https://github.com/vercel/swr"">SWR</a></strong> can result in cleaner code and much improved performance. SWR implements the <a href=""https://tools.ietf.org/html/rfc5861"">stale-while-revalidate</a> HTTP caching strategy, first returning data from cache (stale), then sending the fetch request (revalidate) and finally refreshing the values with the up-to-date response. We caution teams to only use the SWR caching strategy when an application is supposed to return stale data. Note that <a href=""https://tools.ietf.org/html/rfc2616"">HTTP</a> requires that caches respond to a request with the most up-to-date response; only in <em>carefully considered circumstances</em> is a stale response allowed to be returned.</p>",n
TrustKit,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><a href=""https://owasp.org/www-community/controls/Certificate_and_Public_Key_Pinning"">SSL public key pinning</a> is tricky. If you select the wrong policy or don't have a backup pin, your application will stop working unexpectedly. This is where <strong><a href=""https://github.com/datatheorem/TrustKit"">TrustKit</a></strong> is useful — it's an open-source framework that makes SSL public key pinning easier for iOS applications. There is an equivalent <a href=""https://github.com/datatheorem/TrustKit-Android"">framework for Android</a> as well. Picking the correct pinning strategy is a nuanced topic, and you can find more details about it in the TrustKit <a href=""https://github.com/datatheorem/TrustKit/blob/master/docs/getting-started.md"">Getting Started guide</a>. We've used TrustKit in several projects in production, and it has worked out well.</p>",y
.NET 5,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>We don't call out every new .NET version in the Radar, but <strong>.NET 5</strong> represents a significant step forward in bringing .NET Core and .NET Framework into a single platform. Organizations should start to develop a strategy to migrate their development environments — a fragmented mix of frameworks depending on the deployment target — to a single version of .NET 5 or 6 when it becomes available. The advantage of this approach will be a common development platform regardless of the intended environment: Windows, Linux, cross-platform mobile devices (via <a href=""/radar/tools/xamarin"">Xamarin</a>) or the browser (using <a href=""/radar/languages-and-frameworks/blazor"">Blazor</a>). While polyglot development will remain the preferred approach for companies with the engineering culture to support it, others will find it more efficient to standardize on a single platform for .NET development. For now, we want to keep this in the Assess ring to see how well the final unified framework performs in .NET 6.</p>",n
bUnit,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://bunit.egilhansen.com/"">bUnit</a></strong> is a testing library for <a href=""/radar/languages-and-frameworks/blazor"">Blazor</a> that makes it easy to create tests for Blazor components in existing unit testing frameworks such as NUnit, xUnit or MSUnit. It provides a facade around the component allowing it to be run and tested within the familiar unit test paradigm, thus allowing very fast feedback and testing of the component in isolation. If you're developing for Blazor, we recommend that you add bUnit to your list of tools to try out.</p>",y
Dagster,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://github.com/dagster-io/dagster"">Dagster</a></strong> is an open-source data orchestration framework for machine learning, analytics and plain ETL data pipelines. Unlike other task-driven frameworks, Dagster is aware of data flowing through the pipeline and can provide type-safety. With this unified view of pipelines and assets produced, Dagster can schedule and orchestrate Pandas, <a href=""/radar/platforms/apache-spark"">Spark</a>, SQL or anything else that Python can invoke. The framework is relatively new, and we recommend that you assess its capabilities for your data pipelines.</p>",n
Flutter for Web,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>So far, <a href=""/radar/languages-and-frameworks/flutter"">Flutter</a> has primarily supported native iOS and Android applications. However, the Flutter team's vision is to support building applications on every platform. <strong>Flutter for Web</strong> is one step in that direction — it allows us to build apps for iOS, Android and the browser from the same codebase. It has been available for over a year now on the ""Beta"" channel, but with the recent Flutter 2.0 release, Flutter for Web has hit the stable milestone. In the initial release of web support, the Flutter team is focusing on <a href=""https://web.dev/what-are-pwas/"">progressive web apps</a>, <a href=""https://en.wikipedia.org/wiki/Single-page_application"">single-page apps</a> and expanding existing mobile apps to the web. The application and framework code (all in <a href=""/radar/languages-and-frameworks/google-dart"">Dart</a>) are compiled to JavaScript instead of ARM machine code, which is used for mobile applications. Flutter’s web engine offers a choice of two renderers: an HTML renderer, which uses HTML, CSS, Canvas and SVG, and a CanvasKit renderer that uses <a href=""/radar/languages-and-frameworks/webassembly"">WebAssembly</a> and WebGL to render Skia paint commands to the browser canvas. A few of our teams have started using Flutter for Web and like the initial results.</p>",y
Jotai and Zustand,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>In the previous Radar, we commented on the beginning of a phase of experimentation with state management in <a href=""/radar/languages-and-frameworks/react-js"">React</a> applications. We moved <a href=""/radar/languages-and-frameworks/redux"">Redux</a> back into the Trial ring, documenting that it is no longer our default choice, and we mentioned Facebook's <a href=""/radar/languages-and-frameworks/recoil"">Recoil</a>. In this volume we want to highlight <strong><a href=""https://github.com/pmndrs/jotai"">Jotai</a> and <a href=""https://github.com/pmndrs/zustand"">Zustand</a></strong>: Both are state management libraries for React; both aim to be small and simple to use; and, perhaps not by complete coincidence, both names are translations of the word <em>state</em> into Japanese and German, respectively. Beyond these similarities, however, they differ in their design. Jotai's design is closer to that of Recoil in that state consists of atoms stored within the React component tree, whereas Zustand stores the state outside of React in a single state object, much like the approach taken by Redux. The authors of Jotai provide a helpful <a href=""https://github.com/pmndrs/jotai/blob/master/docs/introduction/comparison.md"">checklist</a> to decide when to use which.</p>",n
Kotlin Multiplatform Mobile,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Following the trend of cross-platform mobile development, <strong><a href=""https://kotlinlang.org/docs/mobile/home.html"">Kotlin Multiplatform Mobile</a></strong> (KMM) is a new entry in this space. KMM is an SDK provided by JetBrains that leverages the <a href=""https://kotlinlang.org/docs/multiplatform.html"">multiplatform capabilities</a> in <a href=""/radar/languages-and-frameworks/kotlin"">Kotlin</a> and includes tools and features designed to make the end-to-end experience of building mobile cross-platform applications more enjoyable and efficient. With KMM you write code once for business logic and the app core in Kotlin and then  share it with both Android and iOS applications. Write platform-specific code only when necessary, for example, to take advantage of native UI elements; and the specific code is kept in different views for each platform. Although still in Alpha, Kotlin Multiplatform Mobile is <a href=""https://kotlinlang.org/docs/mobile/kmm-evolution.html"">evolving rapidly</a>. We'll certainly keep an eye on it, and you should too.</p>",y
LVGL,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>With the increasing popularity of smart home and wearable devices, demand for intuitive graphical user interfaces (GUIs)is increasing. However, if you're engaged in embedded device development, rather than Android/iOS, GUI development may take a lot of effort. As an open-source embedded graphics library, <strong><a href=""https://github.com/lvgl/lvgl"">LVGL</a></strong> has become increasingly popular. LVGL has been adapted to mainstream embedded platforms such as NXP, STM32, PIC, Arduino, and ESP32. It has a very small memory footprint: 64 kB flash and 8 kB RAM is enough to make it work, and it can run smoothly on various Cortex-M0 low-power MCUs. LVGL supports input types such as touchscreen, mouse and buttons and contains more than 30 controls, including TileView suitable for smart watches. The MIT license it chose doesn’t restrict enterprise and commercial use. Our teams’ feedback on this tool has been positive and one of our projects using LVGL is already in production, more specifically in small batch manufacturing.</p>",n
React Hook Form,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Building forms for the web remains one of the perennial challenges of front-end development, in particular with <a href=""/radar/languages-and-frameworks/react-js"">React</a>. Many of our teams working with React have been using <a href=""/radar/languages-and-frameworks/formik"">Formik</a> to make this easier, but some are now assessing <strong><a href=""https://react-hook-form.com/"">React Hook Form</a></strong> as a potential alternative. <a href=""/radar/languages-and-frameworks/react-hooks"">React Hooks</a> already existed when React Hook Form was created, so it could use them as a first-class concept: the framework is registering and tracking form elements as uncontrolled components via a hook, thereby significantly reducing the need for re-rendering. It's also quite lightweight in size and in the amount of boilerplate code needed.</p>",y
River,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>At the heart of many approaches to machine learning lies the creation of a model from a set of training data. Once a model is created, it can be used over and over again. However, the world isn't stationary, and often the model needs to change as new data becomes available. Simply re-running the model creation step can be slow and <a href=""https://medium.com/syncedreview/the-staggering-cost-of-training-sota-ai-models-e329e80fa82"">costly</a>. Incremental learning addresses this issue, making it possible to learn from streams of data incrementally to react to change faster. As a bonus the compute and memory requirements are lower and predictable. In our implementations we've had good experience with the <strong><a href=""https://riverml.xyz/dev/"">River</a></strong> framework, but so far we've added checks, sometimes manual, after updates to the model.</p>",n
Webpack 5 Module Federation,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>The release of the <strong><a href=""https://webpack.js.org/concepts/module-federation/"">Webpack 5 Module Federation</a></strong> feature has been highly anticipated by developers of <a href=""/radar/techniques/micro-frontends"">micro frontend</a> architectures. The feature introduces a more standardized way to optimize how module dependencies and shared code are managed and loaded. Module federation allows for the specification of shared modules, which helps with the deduplication of dependencies across micro frontends by loading code used by multiple modules only once. It also lets you distinguish between local and remote modules, where the remote modules are not actually part of the build itself but loaded asynchronously. Compared to build-time dependencies like npm packages, this can significantly simplify the deployment of a module update with many downstream dependencies. Be aware, though, that this requires you to bundle all of your micro frontends with Webpack, as opposed to approaches such as <a href=""/radar/techniques/import-maps-for-micro-frontends"">import maps</a>, which might eventually become part of the W3C standard.</p>",y
AWS Cloud Watch,Explore,Common Services,TRUE,<p>Amazon CloudWatch is a metrics repository.</p>,n
HIVE,Explore,Common Services,TRUE,<p>Common service for log aggregation and search</p>,y
Nagios,Explore,Common Services,TRUE,"<p>Nagios monitors the network for problems caused by overloaded data links or network connections, as well as monitoring routers, switches and more.</p>",n
Gradle,Explore,"Development, Test and Release Tools",TRUE,"<p>Gradle is a build automation tool for multi-language software development. It controls the development process in the tasks of compilation and packaging to testing, deployment, and publishing. </p>",y
Jasmine,Explore,"Development, Test and Release Tools",TRUE,<p>Jasmine is an open-source testing framework for JavaScript.</p>,n
Puppet,Explore,"Development, Test and Release Tools",TRUE,<p>Puppet is a software configuration management tool which includes its own declarative language to describe system configuration.</p>,y
TestCafe,Explore,"Development, Test and Release Tools",TRUE,<p>Test Cafe is a Node. js end-to-end free and open source automation tool which is used to test web applications. </p>,n
AWS S3,Explore,Execution Environments,TRUE,<p>Amazon S3 or Amazon Simple Storage Service is a service offered by Amazon Web Services that provides object storage through a web service interface. Amazon S3 uses the same scalable storage infrastructure that Amazon.com uses to run its global e-commerce network</p>,y
Cassandra,Explore,Execution Environments,TRUE,<p>Apache Cassandra is an open source NoSQL distributed database that supports scalability and high availability.</p>,n
Laravel,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Laravel is a free, open-source PHP web framework, created by Taylor Otwell and intended for the development of web applications following the model–view–controller architectural pattern and based on Symfony.</p>",y
Redux,Explore,"Languages, Frameworks, and Platforms",TRUE,<p>Redux is an open-source JavaScript library for managing and centralizing application state. It is most commonly used with libraries such as React or Angular for building user interfaces. </p>,n
TypeScript,Explore,"Languages, Frameworks, and Platforms",TRUE,<p>TypeScript is a programming language developed and maintained by Microsoft.</p>,y
MySQL,Deprecate,"Development, Test and Release Tools",FALSE,<p>MySQL is an open-source relational database management system (RDBMS) that is stewarded by Oracle Corporation. IIT uses MySQL as an open source data store for COTS applications where PostgreSQL is not an option.</p>,n
Sparx EA,Deprecate,"Development, Test and Release Tools",FALSE,"<p>Enterprise Architect helps you trace high-level specifications to analysis, design, implementation, test and maintenance models using UML, SysML, BPMN and other open standards. IIT transitioned to EA from Designer during ISSS development. An assessment is currently underway to determine IIT future usage of EA. ER Studio is emerging as a new data model repository tool.</p>",y
Jasper Reports,Deprecate,"Development, Test and Release Tools",FALSE,"<p>JasperReports Server is a stand-alone and embeddable reporting server. It provides reporting and analytics that can be embedded into a web or mobile application as well as operate as a central information hub for the enterprise by delivering mission critical information on a real-time or scheduled basis to the browser, mobile device, or email inbox in a variety of file formats. This is the standard reports engine for IIT.</p>",n
Maven,Deprecate,"Development, Test and Release Tools",FALSE,"<p>Apache Maven is a software project management and comprehension tool. Based on the concept of a project object model (POM), Maven can manage a project's build, reporting and documentation from a central piece of information. This is the current IIT standard for build.</p>",y
Oracle DB,Deprecate,"Languages, Frameworks, and Platforms",FALSE,<p>Oracle database is a relational database management system (RDBMS) from the Oracle Corporation. Oracle has been widely used by IIT and continues to be a supported platform. The Oracle database is licensed by the number of cores on the hosting server.</p>,n
Oracle Forms,Deprecate,"Development, Test and Release Tools",FALSE,"<p>Oracle Forms, a component of Oracle Fusion Middleware, is Oracle's tool for creating and generating forms. This technology has been deprecated by IIT in favor of Orbeon Forms.</p>",y
Oracle Fusion Middleware,Deprecate,"Languages, Frameworks, and Platforms",FALSE,"<p>Oracle Fusion Middleware is a middlware platform used by a large majority of legacy IIT applications. It includes the Weblogic java server, the Unified Business and SOA suites (ISSS applications only) and Oracle Forms and Reports (deprecated). Tomcat is preferred over OFM.</p>",n
Oracle Reports,Deprecate,"Development, Test and Release Tools",FALSE,"<p>Oracle Reports, a component of Oracle Fusion Middleware, is Oracle's enterprise reporting tool. This technology has been deprecated by IIT.</p>",y
PGadmin,Deprecate,"Development, Test and Release Tools",FALSE,<p>User interface to manage Postegres databases</p>,n
SQL Server,Deprecate,"Development, Test and Release Tools",FALSE,"<p>SQL Server is a relational database server by Microsoft. IIT has a substantial install base for SQL Server, most of which is to support smaller COTS applications. SQL Server is a licensed product, either by CPU cores on the hosted server or a negotiated named user model.</p>",y
Azure Machine Learning,Deprecate,"Languages, Frameworks, and Platforms",TRUE,"<p>We've observed before that the cloud providers push more and more services onto the market. We've also documented our concerns that sometimes the services are made available when they're not quite ready for prime time. Unfortunately, in our experience, <strong><a href=""https://azure.microsoft.com/en-us/services/machine-learning/"">Azure Machine Learning</a></strong> falls into the latter category. One of several <a href=""https://towardsdatascience.com/top-8-no-code-machine-learning-platforms-you-should-use-in-2020-1d1801300dd0"">recent entrants</a> in the field of <a href=""/radar/techniques/bounded-low-code-platforms"">bounded low-code platforms</a>, Azure ML promises more convenience for data scientists. Ultimately, however, it doesn't live up to its promise; in fact, it still feels easier for our data scientists to work in Python. Despite significant efforts, we struggled to make it scale and lack of adequate documentation proved to be another issue which is why we moved it to the Hold ring.</p>",n
Homemade infrastructure-as-code (IaC) products,Deprecate,"Languages, Frameworks, and Platforms",TRUE,"<p>Products supported by companies or communities are in constant evolution, at least the ones that get traction in the industry. Sometimes organizations tend to build frameworks or abstractions on top of the existing external products to cover very specific needs, thinking that the adaptation will provide more benefits than the existing ones. We're seeing organizations trying to create <strong>homemade infrastructure-as-code (IaC) products</strong> on top of the existing ones; they underestimate the required effort to keep those solutions evolving according to their needs, and after a short period of time, they realize that the original version is in much better shape than their own; there are even cases where the abstraction on top of the external product reduces the original capabilities. Although we've seen success stories of organizations building homemade solutions, we want to caution about this approach as the effort required to do so isn't negligible, and a long-term product vision is required to have the expected outcomes.</p>",y
AWS CodePipeline,Deprecate,"Development, Test and Release Tools",TRUE,"<p>Based on the experiences of multiple ThoughtWorks teams we suggest approaching <strong><a href=""https://aws.amazon.com/codepipeline/"">AWS CodePipeline</a></strong> with caution. Specifically, we've found that once teams move beyond simple pipelines, this tool can become hard to work with. While it may seem like a ""quick win"" when first starting out with <a href=""/radar/platforms/aws"">AWS</a>, we suggest taking a step back and checking whether AWS CodePipeline will meet your longer-term needs, for example, pipeline fan-out and fan-in or more complex deployment and testing scenarios featuring nontrivial dependencies and triggers.</p>",n
Hyperic,Deprecate,Common Services,FALSE,<p>Hyperic is a cross platform monitoring system which is designed to monitor and control server resources. </p>,y
Siteminder,Deprecate,Common Services,FALSE,<p>SiteMinder provides policy-based authentication as well as single sign-on for all Web-based applications.</p>,n
AccuRoute Fax,Deprecate,Execution Environments,FALSE,"<p>AccuRoute Fax provides secure and comprehensive cloud, hybrid, and on-premise centralized fax infrastructures in an enterprise-class fax solution</p>",y
Apex,Deprecate,Execution Environments,FALSE,<p>Oracle APEX is a proprietary web-based integrated development environment developed by Oracle Corporation for creating and managing Oracle databases and other related database functionality.</p>,n
CICS,Deprecate,Execution Environments,FALSE,<p>CICS is a general-purpose transaction processing subsystem for the z/OS operating system</p>,y
DB2,Deprecate,Execution Environments,FALSE,"<p>Db2 is a family of data management products, including database servers, developed by IBM. They initially supported the relational model, but were extended to support object–relational features and non-relational structures like JSON and XML.</p>",n
Glassfish,Deprecate,Execution Environments,FALSE,"<p>GlassFish is an open-source Jakarta EE platform application server project started by Sun Microsystems, then sponsored by Oracle Corporation</p>",y
MQSeries,Deprecate,Execution Environments,FALSE,"<p>IBM MQ is a family of message-oriented middleware products. It allows independent and potentially non-concurrent applications on a distributed system to securely communicate with each other, using messages.</p>",n
VMware,Deprecate,Execution Environments,TRUE,<p>Server virtualization software and services</p>,y
C++,Deprecate,"Languages, Frameworks, and Platforms",TRUE,<p>Replaced with .NET</P>,n
MS Access,Deprecate,"Languages, Frameworks, and Platforms",FALSE,<p>Microsoft Access is a database management system from Microsoft that combines the relational Microsoft Jet Database Engine with a graphical user interface and software-development tools.</p>,y
SAP,Deprecate,"Languages, Frameworks, and Platforms",TRUE,<p>SAP SE is a German multinational software corporation that develops enterprise software to manage business operations and customer relations. </p>,n
Wordpress,Deprecate,"Languages, Frameworks, and Platforms",TRUE,<p>WordPress is a free and open-source content management system written in PHP and paired with a MySQL or MariaDB database.</p>,y
Ant,Retire,"Development, Test and Release Tools",FALSE,"<p>Apache Ant is a Java library and command-line tool used to drive processes described in build files as targets and extension points dependent upon each other. The main known usage of Ant is the build of Java applications. Ant supplies a number of built-in tasks allowing to compile, assemble, test and run Java applications. Ant was widely used to support build for legacy IIT applications but has been largely replaced by Maven.</p>",n
Keypass,Retire,"Development, Test and Release Tools",FALSE,"<p>KeePass is a free and open source, light-weight and easy-to-use password manager primarily for windows. By default KeePass database is stored on local file systems. IIT currently uses KeePass for some credential management. IIT is actively replacing its use of keepass with Vault Hashicorp</p>",y
Subversion,Retire,"Development, Test and Release Tools",FALSE,<p>Subversion is an open source version control system used for legacy IIT applications. IIT has transitioned all source code repositories to Bitbucket or Github.</p>,n
Oracle Solaris,Retire,"Languages, Frameworks, and Platforms",FALSE,"<p>Oracle Solaris is a Unix based platform acquired by Oracle as part of the Sun Microsystems purchase. Prior to widespread adoption of Linux, IIT used the Solaris platform for database and middleware servers. Solaris has been marked as end of life and IIT prefers Linux for all new builds.</p>",y
.Net Languages,Retire,"Languages, Frameworks, and Platforms",FALSE,<p>.Net is a software framework developed by Microsoft that runs primarily on Microsoft Windows. Does IIT have a statement on .net legacy continued use? Do we need a blip for it?</p>,n
OpenJDK (Oracle),Retire,"Languages, Frameworks, and Platforms",TRUE,"<p>IIT direction is Migrate all Java dependencies from Oracle JDK to OpenJDK. Upgrade all older versions to at least JDK8, but preference is to move to a minumm of JDK 11.</P>",y
Orcale JDK ,Retire,"Languages, Frameworks, and Platforms",TRUE,"<p>IIT direction is Migrate all Java dependencies from Oracle JDK to OpenJDK. Upgrade all older versions to at least JDK8, but preference is to move to a minumm of JDK 11.</P>",n
SunOne LDAP,Retire,"Languages, Frameworks, and Platforms",FALSE,<p>IAM is currently assessing KeyCloak as the next evolution of authentication services and will continue to endure LDAP as needed for federated authorization services.</p>,y
MS Biztalk,Retire,Execution Environments,FALSE,<p>Microsoft BizTalk Server is an inter-organizational middleware system that automates business processes through the use of adapters which are tailored to communicate with different software systems used in an enterprise.</p>,n
Oracle JDK ,Retire,"Languages, Frameworks, and Platforms",TRUE,"<p>MoH direction is Migrate all Java dependencies from Oracle JDK to OpenJDK. Upgrade all older versions to at least JDK8, but preference is to move to a minumm of JDK 11.</P>",y
Siebel,Retire,"Languages, Frameworks, and Platforms",TRUE,"<p>Siebel CRM Systems, Inc. was a software company principally engaged in the design, development, marketing, and support of customer relationship management applications</p>",n
